Team: Linense U20 vs Fluminense U20, Probability: 78, Prediction: No, Scores: 0 - 2, IsSuccess: True
Team: Ferroviária U20 vs Santos U20, Probability: 93, Prediction: Yes, Scores: 2 - 1, IsSuccess: True
Team: Rahmatganj MFS vs MSC Limited Dhaka, Probability: 81, Prediction: Yes, Scores: 1 - 3, IsSuccess: True
Team: Dagon Port vs Dagon FC, Probability: 80, Prediction: Yes, Scores: 0 - 3, IsSuccess: False
Team: América SE U20 vs Barra SC U20, Probability: 98, Prediction: No, Scores: 2 - 2, IsSuccess: False
Team: Al Qanah vs Sporting Alexandria, Probability: 70, Prediction: No, Scores: 4 - 3, IsSuccess: False
Team: Hatta Club vs Dubba Al Fujairah, Probability: 83, Prediction: Yes, Scores: 1 - 0, IsSuccess: False
Team: Emirates Club vs Fleetwood United, Probability: 78, Prediction: No, Scores: None, IsSuccess: None
Team: Hapoel Ramat Gan vs Maccabi Kabilio Jaffa, Probability: 80, Prediction: Yes, Scores: 2 - 1, IsSuccess: True
Team: Hapoel Tel Aviv vs Ramat HaSharon, Probability: 79, Prediction: Yes, Scores: 4 - 2, IsSuccess: True
Team: Rabeta Kosti vs Haidoub FC, Probability: 72, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: Gulf Heroes vs Al Hamriyah, Probability: 70, Prediction: Yes, Scores: 0 - 4, IsSuccess: False
Team: Al Nasr Dubai vs Ittihad Kalba, Probability: 79, Prediction: Yes, Scores: 3 - 2, IsSuccess: True
Team: NRB Touggourt vs MC El Bayadh, Probability: 82, Prediction: No, Scores: 0 - 2, IsSuccess: True
Team: Petrojet Suez vs ENPPI Cairo, Probability: 74, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: JSM Béjaia vs A El-Eulma, Probability: 84, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: Arabi Doha vs Shahaniya SC, Probability: 70, Prediction: Yes, Scores: 3 - 1, IsSuccess: True
Team: XV de Piracicaba U20 vs Canaã U20, Probability: 78, Prediction: No, Scores: 2 - 1, IsSuccess: False
Team: Ponte Preta U20 vs IAPE U20, Probability: 76, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: Inter de Minas U20 vs Marcílio Dias U20, Probability: 73, Prediction: No, Scores: 1 - 1, IsSuccess: False
