Team: Deportivo Madryn vs Racing de Cordoba, Probability: 66, Prediction: No, Scores: None, IsSuccess: None
Team: Boavista/RJ vs Botafogo, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: Artesanos Metepec vs Deportivo Yautepec, Probability: 79, Prediction: No, Scores: None, IsSuccess: None
Team: Independiente Rivadavia vs CA Tigre, Probability: 60, Prediction: No, Scores: None, IsSuccess: None
Team: Zitacuaro vs Pioneros de Cancún, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: Jaguares de Córdoba vs Orsomarso SC, Probability: 74, Prediction: No, Scores: None, IsSuccess: None
Team: Sport Sinop vs Academia, Probability: 80, Prediction: No, Scores: None, IsSuccess: None
Team: Gualan vs AFF Guatemala, Probability: 75, Prediction: No, Scores: None, IsSuccess: None
Team: RB Bragantino vs Noroeste/SP, Probability: 62, Prediction: No, Scores: None, IsSuccess: None
Team: Macará vs Orense SC, Probability: 68, Prediction: No, Scores: None, IsSuccess: None
Team: Malacateco vs Deportivo Guastatoya, Probability: 67, Prediction: No, Scores: None, IsSuccess: None
Team: Atlético Central Córdoba vs Córdoba CF B, Probability: 66, Prediction: No, Scores: None, IsSuccess: None
Team: Los Cabos United vs Mexicali FC, Probability: 69, Prediction: No, Scores: None, IsSuccess: None
Team: Tochigi SC vs Kochi United SC, Probability: 67, Prediction: No, Scores: None, IsSuccess: None
Team: Suranaree Black Cat vs Ubon Kruanapat, Probability: 62, Prediction: No, Scores: None, IsSuccess: None
Team: Satun vs Pattani FC, Probability: 69, Prediction: No, Scores: None, IsSuccess: None
Team: Chattrakarn City vs Nakhon Mae Sot, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: Karaköprü Bld. vs Fethiyespor, Probability: 65, Prediction: No, Scores: None, IsSuccess: None
Team: Phuket FC vs Muang Trang United, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: Real Madrid C vs CD Atlético Paso, Probability: 70, Prediction: No, Scores: None, IsSuccess: None
Team: Oberhausen U19 vs RW Essen U19, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: Lokomotiv Plovdiv vs Septemvri Sofia, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: La Union Atletico vs UD Almeria B, Probability: 61, Prediction: No, Scores: None, IsSuccess: None
Team: Athletic Torrellano vs La Nucía, Probability: 68, Prediction: No, Scores: None, IsSuccess: None
Team: Siete Villas vs Monte, Probability: 63, Prediction: No, Scores: None, IsSuccess: None
Team: FC Vizela vs Leixões SC, Probability: 60, Prediction: No, Scores: None, IsSuccess: None
Team: Shabana vs Mathare United, Probability: 73, Prediction: No, Scores: None, IsSuccess: None
Team: Diyarbekirspor vs Halide Edip Adivar, Probability: 72, Prediction: No, Scores: None, IsSuccess: None
Team: Somaspor vs Içel Idman Yurdu, Probability: 64, Prediction: No, Scores: None, IsSuccess: None
Team: Giresunspor vs Buca FK, Probability: 64, Prediction: No, Scores: None, IsSuccess: None
Team: Linares Deportivo vs Deportiva Minera, Probability: 67, Prediction: No, Scores: None, IsSuccess: None
Team: Tepecikspor AS vs Denizlispor, Probability: 70, Prediction: No, Scores: None, IsSuccess: None
