Team: Deportivo Madryn vs Racing de Cordoba, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Calor de San Pedro vs Cañoneros Marina, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Artesanos Metepec vs Deportivo Yautepec, Probability: 97, Prediction: Under, Scores: None, IsSuccess: None
Team: Zitacuaro vs Pioneros de Cancún, Probability: 72, Prediction: Under, Scores: None, IsSuccess: None
Team: Jaguares de Córdoba vs Orsomarso SC, Probability: 82, Prediction: Under, Scores: None, IsSuccess: None
Team: CAI de La Chorrera vs CD Universitario, Probability: 64, Prediction: Under, Scores: None, IsSuccess: None
Team: Tigres de Álica vs Real Apodaca, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: Sport Sinop vs Academia, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Gualan vs AFF Guatemala, Probability: 78, Prediction: Under, Scores: None, IsSuccess: None
Team: All Boys vs Colegiales, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Macará vs Orense SC, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: Tritones Vallarta vs Cimarrones de Sonora II, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Flamengo vs Vasco da Gama, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: Malacateco vs Deportivo Guastatoya, Probability: 72, Prediction: Under, Scores: None, IsSuccess: None
Team: Atlético Central Córdoba vs Córdoba CF B, Probability: 80, Prediction: Under, Scores: None, IsSuccess: None
Team: Quiché vs La Libertad, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Los Cabos United vs Mexicali FC, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Ulsan Hyundai vs FC Anyang, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: Tochigi SC vs Kochi United SC, Probability: 80, Prediction: Under, Scores: None, IsSuccess: None
Team: FC Osaka vs FC Gifu, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Melbourne Victory W vs Central Coast Mariners W, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: MCF vs Darajani Gogo, Probability: 69, Prediction: Under, Scores: None, IsSuccess: None
Team: Roi Et United vs Khonkaen FC, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: Suranaree Black Cat vs Ubon Kruanapat, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Satun vs Pattani FC, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: Raj Pracha vs STK Muangnont FC, Probability: 77, Prediction: Under, Scores: None, IsSuccess: None
Team: Real Murcia Imperial vs Águilas II, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: Hoang Anh Gia Lai vs Binh Dinh FC, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Karaköprü Bld. vs Fethiyespor, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: Phuket FC vs Muang Trang United, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Hòa Bình vs Long An FC, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: Real Madrid C vs CD Atlético Paso, Probability: 72, Prediction: Under, Scores: None, IsSuccess: None
Team: Koln U19 vs Chemnitzer FC U19, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: Bremen U19 vs Schalke 04 U19, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: RB Leipzig U19 vs Unterhaching U19, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Meerbusch U19 vs Viktoria Köln U19, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: 76 Igdır Belediye Spor vs Keçiörengücü, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Boluspor vs Amedspor, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: La Union Atletico vs UD Almeria B, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Athletic Torrellano vs La Nucía, Probability: 77, Prediction: Under, Scores: None, IsSuccess: None
Team: Villaverde San Andrés vs Las Rozas, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Trival Valderas vs RSD Alcala, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: RCD Carabanchel vs Cala Pozuelo, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: CE Constancia vs Porreres, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: FC Vizela vs Leixões SC, Probability: 61, Prediction: Under, Scores: None, IsSuccess: None
Team: Shabana vs Mathare United, Probability: 77, Prediction: Under, Scores: None, IsSuccess: None
Team: Diyarbekirspor vs Halide Edip Adivar, Probability: 77, Prediction: Under, Scores: None, IsSuccess: None
Team: Somaspor vs Içel Idman Yurdu, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: CE Andratx vs Elche Ilicitano, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: Linares Deportivo vs Deportiva Minera, Probability: 75, Prediction: Under, Scores: None, IsSuccess: None
Team: CD Águilas vs UCAM Murcia, Probability: 67, Prediction: Under, Scores: None, IsSuccess: None
Team: Tepecikspor AS vs Denizlispor, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Talasgücü Belediyespor vs Mardin BB, Probability: 73, Prediction: Under, Scores: None, IsSuccess: None
Team: Muğlaspor vs Balikesirspor, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: Mazıdagı Fosfatspor vs Türk Metal 1963, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: Fatsa Belediyespor vs İnegöl Kafkaspor, Probability: 82, Prediction: Under, Scores: None, IsSuccess: None
