Team: Deportivo Madryn vs Racing de Cordoba, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Artesanos Metepec vs Deportivo Yautepec, Probability: 97, Prediction: Under, Scores: None, IsSuccess: None
Team: Zitacuaro vs Pioneros de Cancún, Probability: 72, Prediction: Under, Scores: None, IsSuccess: None
Team: Jaguares de Córdoba vs Orsomarso SC, Probability: 82, Prediction: Under, Scores: None, IsSuccess: None
Team: Sport Sinop vs Academia, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Gualan vs AFF Guatemala, Probability: 78, Prediction: Under, Scores: None, IsSuccess: None
Team: Macará vs Orense SC, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: Malacateco vs Deportivo Guastatoya, Probability: 72, Prediction: Under, Scores: None, IsSuccess: None
Team: Atlético Central Córdoba vs Córdoba CF B, Probability: 80, Prediction: Under, Scores: None, IsSuccess: None
Team: Los Cabos United vs Mexicali FC, Probability: 62, Prediction: Under, Scores: None, IsSuccess: None
Team: Tochigi SC vs Kochi United SC, Probability: 80, Prediction: Under, Scores: None, IsSuccess: None
Team: Suranaree Black Cat vs Ubon Kruanapat, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Satun vs Pattani FC, Probability: 65, Prediction: Under, Scores: None, IsSuccess: None
Team: Karaköprü Bld. vs Fethiyespor, Probability: 70, Prediction: Under, Scores: None, IsSuccess: None
Team: Phuket FC vs Muang Trang United, Probability: 63, Prediction: Under, Scores: None, IsSuccess: None
Team: Real Madrid C vs CD Atlético Paso, Probability: 72, Prediction: Under, Scores: None, IsSuccess: None
Team: La Union Atletico vs UD Almeria B, Probability: 60, Prediction: Under, Scores: None, IsSuccess: None
Team: Athletic Torrellano vs La Nucía, Probability: 77, Prediction: Under, Scores: None, IsSuccess: None
Team: FC Vizela vs Leixões SC, Probability: 61, Prediction: Under, Scores: None, IsSuccess: None
Team: Shabana vs Mathare United, Probability: 77, Prediction: Under, Scores: None, IsSuccess: None
